soil,temperature,humidity,rainfall,ph,season,region,irrigation,crop
Clay,25.11,83.75,278.76,5.7,Kharif,North,Medium,Rice
Sandy,15.28,44.24,34.18,6.34,Rabi,North,Low,Mustard
Sandy,27.56,60.45,61.4,6.83,Zaid,West,Low,Groundnut
Loamy,16.67,52.24,89.29,7.31,Rabi,West,Medium,Barley
Loamy,32.16,69.24,56.05,7.1,Kharif,Central,Medium,Cotton
Clay,18.2,59.83,101.18,7.17,Rabi,West,Low,Wheat
Black,26.51,63.56,78.45,7.06,Kharif,West,Medium,Cotton
Loamy,22.42,84.9,107.64,7.49,Kharif,South,High,Sugarcane
Black,23.77,59.34,79.88,7.08,Kharif,West,Medium,Cotton
Sandy,16.63,56.72,53.99,7.04,Rabi,West,Medium,Barley
Loamy,19.13,74.86,121.61,5.69,Zaid,North,Medium,Maize
Loamy,14.13,58.8,71.37,7.04,Rabi,West,Medium,Barley
Loamy,20.24,47.94,81.21,7.1,Rabi,North,Medium,Barley
Red,25.81,62.08,58.68,7.31,Kharif,West,Low,Groundnut
Loamy,23.82,64.05,139.89,6.6,Zaid,South,High,Sugarcane
Sandy,33.63,55.63,81.58,6.26,Kharif,South,Low,Millet
Sandy,18.51,43.76,44.26,6.41,Rabi,Central,Low,Mustard
Loamy,24.28,54.71,123.62,7.42,Zaid,North,Medium,Maize
Black,24.28,70.68,136.26,6.47,Kharif,West,Medium,Soybean
Loamy,21.59,76.48,193.71,7.37,Kharif,South,High,Sugarcane
Sandy,25.79,61.66,62.28,6.64,Zaid,South,Low,Groundnut
Red,34.33,38.14,54.91,6.8,Kharif,South,Low,Millet
Loamy,19.75,57.62,67.35,7.64,Rabi,West,Low,Barley
Loamy,20.64,62.0,84.09,6.99,Kharif,Central,Medium,Soybean
Sandy,25.24,56.14,63.4,5.95,Kharif,South,Medium,Maize
Loamy,26.53,82.69,228.06,5.76,Kharif,East,Medium,Rice
Clay,23.86,61.37,101.91,6.7,Rabi,North,Low,Wheat
Sandy,28.47,72.25,85.15,6.3,Zaid,North,Medium,Maize
Sandy,11.09,50.74,31.95,6.71,Rabi,West,Low,Mustard
Sandy,22.59,60.4,66.11,6.58,Zaid,South,Low,Groundnut
Sandy,29.93,50.97,76.64,6.54,Zaid,Central,Medium,Maize
Sandy,15.1,44.53,39.54,6.23,Rabi,West,Low,Mustard
Sandy,23.29,53.48,73.37,6.05,Kharif,South,Low,Groundnut
Black,20.86,58.82,106.44,7.4,Kharif,West,Medium,Soybean
Black,28.95,46.73,60.22,5.95,Kharif,South,Low,Cotton
Red,28.07,64.84,84.11,6.17,Kharif,South,Low,Groundnut
Clay,16.67,49.29,89.39,7.13,Rabi,Central,Low,Wheat
Loamy,26.18,79.48,211.58,6.03,Kharif,East,High,Rice
Loamy,16.19,57.55,46.1,6.23,Rabi,West,Low,Barley
Sandy,26.38,47.12,73.0,6.07,Kharif,Central,Low,Millet
Sandy,23.38,46.09,92.27,6.68,Zaid,South,Medium,Groundnut
Loamy,20.88,62.74,111.44,6.63,Kharif,East,High,Sugarcane
Sandy,24.52,43.58,40.22,6.77,Rabi,West,Low,Mustard
Sandy,20.63,37.83,40.19,7.18,Rabi,West,Low,Mustard
Sandy,25.93,40.49,58.67,7.25,Kharif,West,Low,Millet
Red,27.83,49.03,92.0,7.02,Zaid,West,Low,Groundnut
Loamy,12.54,40.84,60.24,7.71,Rabi,West,Low,Barley
Loamy,20.3,54.39,124.96,6.03,Zaid,Central,Medium,Maize
Loamy,23.73,62.36,92.59,6.64,Zaid,South,Medium,Maize
Sandy,17.79,51.48,47.81,6.9,Rabi,North,Low,Barley
Loamy,11.96,52.68,63.76,7.25,Rabi,Central,Low,Mustard
Loamy,26.88,54.6,105.87,6.13,Kharif,South,Low,Cotton
Loamy,10.31,50.44,56.01,6.45,Rabi,West,Low,Barley
Clay,19.84,58.46,80.43,6.34,Rabi,North,Low,Wheat
Sandy,25.46,65.26,109.88,5.77,Kharif,Central,Medium,Maize
Sandy,20.43,66.5,117.99,6.7,Kharif,Central,Medium,Maize
Black,28.38,66.82,90.74,6.0,Kharif,South,Low,Cotton
Loamy,28.53,86.09,254.58,6.14,Kharif,East,High,Rice
Loamy,18.47,66.34,87.12,6.81,Kharif,North,Medium,Maize
Black,27.23,69.97,123.29,6.31,Kharif,Central,Medium,Soybean
Loamy,20.77,38.94,54.4,6.04,Rabi,West,Low,Mustard
Loamy,14.27,45.5,89.0,6.5,Rabi,North,Low,Barley
Sandy,28.23,35.08,70.43,5.61,Kharif,Central,Low,Millet
Red,33.75,41.79,76.51,6.82,Kharif,Central,Low,Millet
Red,30.19,42.97,85.77,6.16,Kharif,Central,Low,Millet
Sandy,20.11,59.47,72.67,7.32,Rabi,North,Medium,Barley
Sandy,32.62,45.41,86.24,6.08,Kharif,Central,Low,Millet
Black,22.98,67.13,99.55,6.0,Kharif,West,Medium,Soybean
Sandy,23.41,54.52,77.35,5.69,Zaid,North,Medium,Maize
Black,23.11,45.22,52.84,7.48,Kharif,West,Low,Cotton
Clay,32.3,68.05,168.58,6.5,Zaid,East,High,Sugarcane
Sandy,18.77,48.58,54.22,7.45,Rabi,Central,Low,Mustard
Sandy,23.06,48.45,44.95,6.04,Rabi,West,Low,Mustard
Loamy,31.96,70.35,168.46,6.0,Kharif,South,High,Sugarcane
Sandy,15.39,44.05,74.96,6.71,Rabi,North,Low,Barley
Red,31.29,63.16,109.46,6.2,Zaid,South,Medium,Groundnut
Black,25.5,66.97,117.99,6.83,Kharif,West,Medium,Soybean
Loamy,22.85,37.81,57.12,6.73,Rabi,West,Low,Mustard
Loamy,21.88,44.85,53.71,7.63,Rabi,North,Low,Barley
Red,24.67,46.87,73.64,6.03,Kharif,West,Low,Groundnut
Loamy,19.38,64.1,117.68,5.62,Zaid,South,Medium,Maize
Loamy,23.28,59.08,72.09,7.18,Kharif,West,Medium,Cotton
Sandy,29.09,50.76,31.4,6.06,Kharif,South,Low,Millet
Clay,26.32,75.81,119.14,7.21,Zaid,East,High,Sugarcane
Sandy,26.19,51.85,95.75,6.32,Zaid,South,Medium,Maize
Clay,23.51,73.62,306.99,5.08,Kharif,South,Medium,Rice
Loamy,25.69,55.04,131.04,7.12,Kharif,North,Medium,Maize
Sandy,24.39,46.51,57.4,6.38,Rabi,North,Low,Mustard
Loamy,26.59,85.68,269.1,6.03,Kharif,South,High,Rice
Clay,31.95,83.49,294.05,6.62,Kharif,East,Medium,Rice
Sandy,27.23,42.65,45.68,6.42,Kharif,West,Low,Millet
Clay,25.04,70.62,241.14,5.39,Kharif,South,High,Rice
Loamy,27.77,62.35,118.52,7.68,Zaid,East,High,Sugarcane
Loamy,22.16,48.59,78.95,6.67,Rabi,North,Medium,Wheat
Sandy,31.59,60.76,75.45,6.5,Zaid,West,Medium,Groundnut
Sandy,18.97,36.09,25.28,6.1,Rabi,West,Low,Mustard
Loamy,19.35,45.7,61.03,6.31,Rabi,Central,Medium,Wheat
Loamy,16.26,43.94,43.82,6.4,Rabi,North,Medium,Barley
Black,22.63,69.23,73.85,6.84,Kharif,West,Medium,Soybean
Sandy,12.16,54.32,57.86,7.7,Rabi,North,Low,Barley
Sandy,21.19,40.43,34.96,6.59,Rabi,Central,Low,Mustard
Black,25.96,63.33,99.1,7.23,Kharif,West,Medium,Soybean
Loamy,23.78,73.04,99.48,6.44,Zaid,Central,Medium,Maize
Sandy,29.64,72.65,137.66,6.6,Zaid,North,Medium,Maize
Clay,29.12,73.01,186.63,5.25,Kharif,South,High,Rice
Loamy,18.47,62.37,69.92,5.98,Zaid,Central,Medium,Maize
Loamy,21.18,60.75,94.6,6.01,Zaid,Central,Medium,Maize
Sandy,24.47,64.14,61.43,6.27,Kharif,South,Low,Groundnut
Loamy,22.39,60.16,53.98,6.33,Kharif,West,Medium,Cotton
Clay,19.43,48.25,104.11,7.28,Rabi,North,Medium,Wheat
Loamy,12.24,44.39,56.16,7.18,Rabi,West,Low,Barley
Red,26.25,52.84,75.69,6.64,Zaid,South,Medium,Groundnut
Clay,27.64,75.42,135.03,6.12,Zaid,North,High,Sugarcane
Loamy,22.09,73.77,184.38,5.2,Kharif,North,Medium,Rice
Sandy,30.45,52.35,69.24,6.77,Kharif,South,Low,Groundnut
Black,28.74,65.25,107.87,6.3,Kharif,Central,Medium,Soybean
Loamy,20.15,49.28,56.94,6.31,Rabi,North,Medium,Wheat
Black,21.23,69.1,98.95,7.39,Kharif,South,Medium,Cotton
Loamy,14.59,59.9,59.18,6.3,Rabi,West,Medium,Wheat
Sandy,23.37,58.65,97.41,5.84,Kharif,Central,Medium,Maize
Loamy,18.61,51.74,67.3,7.22,Rabi,West,Low,Mustard
Loamy,24.41,69.3,90.31,6.68,Kharif,Central,Medium,Maize
Sandy,28.28,51.94,121.2,6.12,Zaid,North,Medium,Maize
Sandy,24.51,37.38,59.76,7.29,Rabi,West,Low,Mustard
Loamy,23.57,57.24,123.68,7.32,Zaid,Central,Medium,Maize
Sandy,10.78,41.5,69.49,7.62,Rabi,North,Low,Barley
Loamy,23.0,59.04,98.06,6.62,Kharif,West,Medium,Soybean
Loamy,20.8,53.95,48.49,7.27,Rabi,Central,Low,Mustard
Loamy,10.19,40.47,28.4,6.68,Rabi,North,Low,Mustard
Black,26.55,72.08,132.63,7.29,Kharif,Central,Medium,Soybean
Sandy,23.75,46.0,67.28,6.53,Rabi,West,Low,Mustard
Black,30.45,66.03,109.46,6.16,Kharif,West,Low,Cotton
Loamy,20.66,60.62,151.6,7.59,Kharif,North,High,Sugarcane
Loamy,22.64,86.55,268.43,6.36,Kharif,North,High,Rice
Loamy,33.51,74.97,149.88,7.06,Kharif,North,High,Sugarcane
Loamy,34.94,45.4,83.46,7.45,Kharif,South,Low,Cotton
Loamy,29.88,51.85,70.6,7.15,Zaid,South,Medium,Maize
Clay,23.54,83.66,284.27,6.74,Kharif,South,High,Rice
Black,20.19,65.02,139.02,6.49,Kharif,Central,Medium,Soybean
Sandy,31.29,54.17,40.0,5.59,Kharif,West,Low,Millet
Loamy,29.39,72.62,197.33,6.67,Kharif,East,High,Rice
Loamy,18.44,64.31,117.45,7.28,Rabi,West,Low,Wheat
Loamy,30.41,75.21,225.15,5.44,Kharif,North,Medium,Rice
Loamy,31.97,64.08,160.87,6.76,Zaid,North,High,Sugarcane
Black,28.19,71.35,140.2,6.07,Kharif,Central,Medium,Soybean
Loamy,22.67,75.97,175.42,6.76,Kharif,North,High,Sugarcane
Red,25.59,52.43,75.85,6.06,Zaid,West,Medium,Groundnut
Loamy,11.73,54.46,75.73,6.59,Rabi,North,Low,Mustard
Sandy,27.78,46.32,60.34,7.47,Kharif,West,Low,Millet
Sandy,16.38,40.29,58.47,7.13,Rabi,Central,Low,Mustard
Sandy,14.35,49.07,70.1,6.84,Rabi,West,Low,Mustard
Sandy,24.05,71.49,95.86,6.06,Kharif,South,Medium,Maize
Sandy,18.37,59.91,135.61,5.6,Zaid,South,Medium,Maize
Loamy,29.21,53.06,91.84,7.91,Kharif,Central,Medium,Cotton
Loamy,24.94,53.53,137.79,7.31,Zaid,Central,Medium,Maize
Loamy,15.69,57.31,59.32,6.79,Rabi,North,Low,Barley
Loamy,13.33,47.33,59.55,7.21,Rabi,North,Low,Barley
Black,22.94,55.71,91.39,7.71,Kharif,Central,Low,Cotton
Sandy,10.84,40.36,41.25,7.02,Rabi,West,Medium,Barley
Black,21.43,64.86,89.17,6.08,Kharif,West,Medium,Soybean
Sandy,24.83,53.45,55.82,6.68,Kharif,West,Low,Groundnut
Loamy,21.9,51.35,63.81,7.97,Kharif,West,Low,Cotton
Clay,23.16,47.0,57.52,6.17,Rabi,West,Low,Wheat
Clay,26.32,79.74,100.81,6.52,Zaid,East,High,Sugarcane
Loamy,10.43,49.94,53.18,6.69,Rabi,North,Medium,Barley
Sandy,28.87,50.43,82.13,5.72,Kharif,West,Low,Millet
Loamy,27.85,72.02,181.35,7.2,Kharif,East,High,Sugarcane
Loamy,28.58,78.37,288.4,6.21,Kharif,East,Medium,Rice
Loamy,24.56,64.16,73.65,6.65,Kharif,Central,Medium,Soybean
Red,27.51,53.74,38.21,6.87,Kharif,South,Low,Millet
Loamy,19.83,61.46,61.76,6.22,Rabi,North,Low,Wheat
Sandy,28.07,42.96,31.87,6.74,Kharif,West,Low,Millet
Loamy,22.89,67.81,121.38,6.04,Kharif,North,High,Sugarcane
Black,33.25,48.84,96.6,6.13,Kharif,Central,Medium,Cotton
Loamy,26.26,73.81,149.14,6.99,Zaid,South,High,Sugarcane
Loamy,23.93,68.27,132.91,7.46,Kharif,East,High,Sugarcane
Loamy,23.48,80.17,236.56,5.85,Kharif,East,High,Rice
Sandy,25.37,49.67,69.68,6.32,Kharif,South,Low,Groundnut
Red,28.0,53.11,67.9,5.88,Kharif,West,Low,Millet
Loamy,15.5,47.63,64.47,7.11,Rabi,North,Medium,Barley
Clay,28.26,63.66,189.75,6.64,Zaid,South,High,Sugarcane
Loamy,23.59,36.7,42.86,6.95,Rabi,North,Low,Mustard
Sandy,33.85,39.75,83.07,7.03,Kharif,West,Low,Millet
Sandy,13.84,46.44,28.43,6.49,Rabi,West,Low,Mustard
Sandy,32.24,51.7,85.22,6.32,Kharif,South,Low,Millet
Clay,16.45,53.5,106.85,6.76,Rabi,North,Low,Wheat
Black,29.51,71.35,144.23,6.9,Kharif,West,Medium,Soybean
Sandy,22.08,51.78,98.02,7.01,Zaid,North,Medium,Maize
Clay,28.44,86.46,242.08,5.41,Kharif,North,High,Rice
Loamy,26.7,73.79,198.19,5.86,Kharif,South,High,Rice
Sandy,22.59,74.5,130.68,6.1,Kharif,Central,Medium,Maize
Red,27.61,55.09,108.11,6.5,Zaid,South,Medium,Groundnut
Sandy,18.95,55.4,76.21,6.05,Rabi,North,Low,Barley
Loamy,13.19,38.6,67.97,7.08,Rabi,North,Low,Mustard
Loamy,14.12,48.51,107.62,6.6,Rabi,Central,Low,Wheat
Clay,27.09,65.58,213.3,6.49,Zaid,North,High,Sugarcane
Clay,22.22,86.53,305.46,5.25,Kharif,East,Medium,Rice
Red,23.33,57.02,95.54,7.19,Kharif,South,Low,Groundnut
Loamy,17.37,54.92,77.55,6.38,Rabi,North,Medium,Barley
Loamy,24.94,78.01,169.48,6.88,Kharif,North,High,Sugarcane
Clay,22.84,67.94,109.95,6.29,Kharif,East,High,Sugarcane
Red,29.12,44.68,86.47,6.15,Kharif,West,Low,Millet
Red,31.54,64.91,72.26,7.06,Kharif,South,Low,Groundnut
Clay,20.49,61.6,118.31,7.26,Rabi,Central,Medium,Wheat
Clay,29.83,71.65,248.13,5.88,Kharif,South,Medium,Rice
Loamy,27.12,55.77,132.46,6.5,Kharif,North,Medium,Maize
Loamy,29.96,81.46,122.06,6.0,Zaid,North,High,Sugarcane
Clay,27.94,72.92,295.45,5.56,Kharif,North,High,Rice
Clay,31.17,82.62,204.85,5.61,Kharif,South,High,Rice
Sandy,23.93,57.51,98.18,6.22,Zaid,North,Medium,Maize
Loamy,27.14,87.15,244.79,5.69,Kharif,North,Medium,Rice
Sandy,11.79,51.68,42.25,7.65,Rabi,North,Medium,Barley
Clay,15.09,60.05,85.29,7.13,Rabi,Central,Medium,Wheat
Clay,30.87,73.75,191.87,5.62,Kharif,East,High,Rice
Loamy,18.21,43.63,40.7,6.67,Rabi,North,Low,Barley
Clay,31.48,66.42,189.43,6.13,Kharif,North,High,Sugarcane
Loamy,24.95,79.17,241.92,5.54,Kharif,North,Medium,Rice
Sandy,26.76,43.67,68.29,6.19,Kharif,Central,Low,Millet
Loamy,29.12,70.99,80.66,7.12,Kharif,Central,Medium,Soybean
Clay,25.74,78.52,271.27,6.56,Kharif,East,High,Rice
Sandy,19.63,42.39,51.0,6.88,Rabi,West,Low,Mustard
Black,26.62,58.23,50.06,6.16,Kharif,West,Medium,Cotton
Sandy,31.6,61.41,86.11,7.12,Zaid,South,Low,Groundnut
Black,23.55,58.27,88.12,7.23,Kharif,West,Medium,Soybean
Sandy,19.65,48.75,75.31,6.16,Rabi,North,Low,Barley
Black,28.88,67.05,90.01,6.84,Kharif,Central,Medium,Cotton
Clay,21.43,62.14,137.35,6.02,Zaid,South,High,Sugarcane
Black,27.49,45.77,87.06,7.29,Kharif,West,Low,Cotton
Sandy,16.74,46.41,68.89,7.68,Rabi,West,Low,Mustard
Sandy,31.91,50.22,89.89,7.27,Kharif,West,Low,Groundnut
Sandy,11.19,54.14,48.42,6.63,Rabi,North,Low,Mustard
Clay,24.02,83.9,300.5,5.24,Kharif,North,Medium,Rice
Clay,30.37,79.88,196.22,5.13,Kharif,East,Medium,Rice
Loamy,29.23,70.07,118.5,6.95,Kharif,East,High,Sugarcane
Loamy,12.28,53.0,111.26,6.92,Rabi,Central,Medium,Wheat
Loamy,20.89,59.02,74.11,6.43,Zaid,South,Medium,Maize
Loamy,20.63,61.6,135.41,6.97,Kharif,North,Medium,Maize
Loamy,34.15,61.52,75.9,7.45,Kharif,West,Medium,Cotton
Sandy,28.67,41.87,55.74,6.29,Kharif,South,Low,Millet
Loamy,33.65,66.38,186.97,7.43,Zaid,South,High,Sugarcane
Loamy,13.55,48.05,94.26,6.59,Rabi,West,Medium,Wheat
Loamy,30.67,72.28,282.54,5.79,Kharif,North,Medium,Rice
Red,26.03,37.69,56.26,6.63,Kharif,Central,Low,Millet
Sandy,13.62,40.82,55.73,7.76,Rabi,West,Medium,Barley
Clay,14.12,53.47,88.65,6.75,Rabi,Central,Medium,Wheat
Sandy,28.4,46.96,61.49,7.05,Kharif,South,Low,Millet
Clay,25.74,80.48,194.23,6.5,Kharif,East,High,Rice
Black,34.71,47.45,99.75,7.11,Kharif,South,Medium,Cotton
Black,29.04,71.79,74.61,6.92,Kharif,Central,Medium,Soybean
Black,29.82,68.53,138.06,7.13,Kharif,Central,Medium,Soybean
Sandy,15.22,48.31,52.5,7.08,Rabi,West,Low,Barley
Loamy,23.37,70.5,125.35,6.23,Zaid,East,High,Sugarcane
Clay,15.83,59.52,82.28,6.99,Rabi,West,Low,Wheat
Clay,28.83,74.57,226.3,6.67,Kharif,South,High,Rice
Sandy,26.71,50.3,84.07,6.63,Kharif,South,Low,Millet
Clay,23.55,84.69,207.03,5.49,Kharif,North,High,Rice
Sandy,25.42,46.33,69.07,6.37,Zaid,West,Low,Groundnut
Loamy,30.5,76.81,249.83,5.96,Kharif,South,High,Rice
Loamy,30.15,62.75,92.97,7.73,Kharif,West,Low,Cotton
Clay,33.32,70.96,134.42,6.23,Zaid,North,High,Sugarcane
Loamy,31.64,59.37,101.78,6.44,Kharif,Central,Low,Cotton
Loamy,15.03,50.9,103.54,7.32,Rabi,Central,Low,Wheat
Clay,18.27,49.29,59.77,6.28,Rabi,West,Medium,Wheat
Sandy,22.74,69.67,133.05,5.99,Zaid,Central,Medium,Maize
Black,29.75,58.44,86.37,6.02,Kharif,Central,Medium,Cotton
Sandy,15.27,43.61,77.83,6.31,Rabi,West,Medium,Barley
Sandy,27.23,68.34,62.57,6.64,Kharif,Central,Medium,Maize
Loamy,22.11,74.18,253.51,5.29,Kharif,North,High,Rice
Sandy,15.34,51.79,66.65,7.38,Rabi,West,Low,Barley
Sandy,10.95,49.78,43.77,7.36,Rabi,West,Medium,Barley
Clay,30.44,82.75,270.88,6.21,Kharif,East,Medium,Rice
Black,31.47,46.8,85.53,7.46,Kharif,West,Low,Cotton
Sandy,27.83,54.29,108.63,6.77,Kharif,West,Low,Groundnut
Red,31.5,53.49,97.28,6.25,Zaid,West,Low,Groundnut
Loamy,21.47,45.58,87.96,7.78,Rabi,North,Low,Barley
Sandy,21.18,51.17,79.3,6.67,Rabi,Central,Low,Mustard
Sandy,27.39,55.27,133.39,7.2,Zaid,North,Medium,Maize
Sandy,31.69,58.16,106.19,6.73,Kharif,South,Low,Groundnut
Red,28.11,61.8,58.16,6.29,Zaid,West,Low,Groundnut
Loamy,24.38,57.86,121.92,7.03,Zaid,Central,Medium,Maize
Clay,15.85,51.91,76.5,6.14,Rabi,North,Medium,Wheat
Red,23.62,59.45,55.33,7.04,Zaid,South,Medium,Groundnut
Sandy,27.61,56.75,85.02,6.48,Kharif,West,Low,Millet
Loamy,28.52,63.19,119.58,7.14,Kharif,Central,Medium,Maize
Clay,28.22,87.16,180.63,5.93,Kharif,East,Medium,Rice
Sandy,30.18,54.13,66.77,6.51,Zaid,South,Low,Groundnut
Loamy,28.04,77.11,107.3,6.28,Zaid,North,High,Sugarcane
Loamy,13.16,63.95,78.35,7.21,Rabi,West,Low,Wheat
Sandy,20.85,49.29,64.34,7.6,Rabi,Central,Low,Mustard
Black,28.81,57.86,102.97,7.12,Kharif,West,Medium,Soybean
Loamy,23.22,81.77,276.05,5.02,Kharif,East,High,Rice
Clay,22.15,86.54,299.92,5.67,Kharif,North,Medium,Rice
Sandy,20.89,41.91,75.6,7.46,Rabi,North,Medium,Barley
Loamy,27.19,76.32,288.08,6.19,Kharif,South,High,Rice
Black,29.15,63.27,115.96,6.71,Kharif,West,Medium,Soybean
Black,31.28,65.69,85.61,7.1,Kharif,West,Medium,Cotton
Black,29.16,59.63,89.44,7.38,Kharif,West,Low,Cotton
Sandy,21.97,47.01,40.61,6.25,Rabi,West,Low,Barley
Black,28.79,71.29,134.94,6.69,Kharif,West,Medium,Soybean
Sandy,25.52,51.4,38.2,7.05,Kharif,West,Low,Millet
Sandy,26.53,55.77,39.55,7.46,Kharif,South,Low,Millet
Clay,28.06,86.03,213.4,6.53,Kharif,East,High,Rice
Clay,25.01,81.56,277.97,6.17,Kharif,North,High,Rice
Black,21.24,73.01,138.33,6.08,Kharif,Central,Medium,Soybean
Clay,29.1,73.46,192.84,5.33,Kharif,North,High,Rice
Black,24.26,65.92,58.75,6.3,Kharif,Central,Low,Cotton
Clay,26.65,75.96,161.79,7.53,Zaid,North,High,Sugarcane
Sandy,21.87,43.4,52.98,6.6,Rabi,Central,Low,Mustard
Loamy,21.78,67.92,85.35,6.1,Kharif,West,Medium,Soybean
Loamy,28.77,59.91,97.54,7.46,Kharif,West,Medium,Cotton
Clay,23.15,68.25,156.51,6.86,Zaid,East,High,Sugarcane
Sandy,12.41,55.21,65.95,7.31,Rabi,West,Low,Barley
Loamy,21.56,71.47,129.51,7.42,Kharif,Central,Medium,Soybean
Sandy,20.28,72.46,80.26,6.91,Kharif,South,Medium,Maize
Sandy,25.86,45.47,99.1,6.31,Zaid,West,Low,Groundnut
Loamy,15.78,50.06,44.5,7.33,Rabi,West,Low,Barley
Sandy,26.06,46.98,80.56,7.02,Kharif,West,Low,Millet
Clay,29.69,87.04,250.67,6.64,Kharif,South,High,Rice
Loamy,20.46,62.9,104.65,6.59,Kharif,South,High,Sugarcane
Sandy,33.37,36.16,61.49,6.73,Kharif,West,Low,Millet
Sandy,24.97,46.85,43.04,5.63,Kharif,Central,Low,Millet
Loamy,23.73,58.47,116.72,6.63,Kharif,West,Medium,Soybean
Loamy,30.01,81.87,289.57,6.43,Kharif,North,Medium,Rice
Loamy,20.89,68.79,85.11,6.05,Kharif,North,Medium,Maize
Sandy,25.2,52.38,53.63,7.5,Kharif,South,Low,Millet
Clay,16.71,63.48,90.53,6.01,Rabi,Central,Low,Wheat
Loamy,17.71,63.71,54.16,6.32,Rabi,West,Low,Wheat
Loamy,20.7,59.16,101.7,6.48,Rabi,North,Low,Wheat
Loamy,17.18,41.71,37.92,6.02,Rabi,North,Low,Mustard
Loamy,23.43,71.07,85.91,6.46,Kharif,Central,Medium,Maize
Loamy,26.01,87.91,274.03,5.43,Kharif,East,High,Rice
Red,28.18,50.15,108.43,6.6,Kharif,West,Low,Groundnut
Loamy,19.82,62.43,94.4,6.64,Rabi,North,Medium,Wheat
Loamy,19.9,52.58,51.24,6.96,Rabi,West,Low,Mustard
Clay,24.0,70.15,290.17,6.2,Kharif,South,Medium,Rice
Black,27.25,66.6,93.4,6.94,Kharif,West,Medium,Cotton
Loamy,17.44,46.22,60.0,6.27,Rabi,West,Medium,Barley
Clay,15.73,48.79,70.02,7.45,Rabi,North,Medium,Wheat
Clay,21.0,71.93,140.64,6.41,Kharif,North,High,Sugarcane
Sandy,28.75,60.86,121.35,7.11,Zaid,North,Medium,Maize
Sandy,32.83,38.16,37.47,6.33,Kharif,South,Low,Millet
Red,27.45,61.98,63.51,6.04,Kharif,South,Low,Groundnut
Loamy,26.23,56.15,74.58,6.2,Kharif,West,Low,Cotton
Loamy,29.95,62.26,50.99,7.91,Kharif,South,Low,Cotton
Sandy,11.67,49.87,72.59,6.17,Rabi,West,Low,Barley
Sandy,15.72,35.55,26.48,7.0,Rabi,Central,Low,Mustard
Clay,12.94,45.6,74.25,6.03,Rabi,North,Low,Wheat
Loamy,33.18,62.46,90.45,6.96,Kharif,South,Low,Cotton
Black,25.69,60.89,109.16,6.92,Kharif,West,Medium,Soybean
Loamy,13.91,41.5,33.96,7.19,Rabi,West,Low,Mustard
Sandy,12.32,46.3,85.12,7.59,Rabi,North,Medium,Barley
Black,28.6,53.01,67.01,7.06,Kharif,Central,Medium,Cotton
Clay,15.86,57.16,82.55,6.6,Rabi,West,Low,Wheat
Loamy,14.2,43.05,58.99,6.56,Rabi,West,Low,Mustard
Loamy,24.06,71.0,182.27,6.07,Zaid,East,High,Sugarcane
Sandy,11.31,42.83,27.5,6.6,Rabi,North,Low,Mustard
Sandy,28.03,53.66,37.45,6.16,Kharif,South,Low,Millet
Loamy,25.5,74.66,124.88,6.16,Kharif,West,Medium,Soybean
Loamy,17.91,59.58,77.24,6.24,Rabi,North,Low,Barley
Loamy,21.71,50.43,46.06,6.31,Rabi,North,Low,Mustard
Clay,28.7,78.74,296.57,6.26,Kharif,East,High,Rice
Sandy,22.17,36.08,25.07,6.95,Rabi,West,Low,Mustard
Loamy,28.06,69.0,173.3,6.53,Kharif,South,High,Sugarcane
Loamy,28.26,69.31,80.26,6.29,Kharif,Central,Medium,Soybean
Loamy,26.88,51.88,118.38,7.2,Zaid,South,Medium,Maize
Sandy,33.4,52.59,51.32,6.69,Kharif,West,Low,Millet
Loamy,20.67,61.02,119.43,5.97,Zaid,Central,Medium,Maize
Loamy,15.75,47.97,78.69,6.99,Rabi,Central,Low,Mustard
Black,27.05,71.61,75.0,7.13,Kharif,West,Medium,Soybean
Loamy,28.69,62.23,113.93,6.77,Kharif,West,Medium,Soybean
Loamy,20.46,54.66,81.95,6.58,Rabi,Central,Medium,Wheat
Black,22.4,62.88,122.45,7.25,Kharif,West,Medium,Soybean
Loamy,24.56,53.67,86.9,7.48,Kharif,North,Medium,Maize
Loamy,17.91,48.92,42.44,6.86,Rabi,West,Low,Mustard
Loamy,16.4,50.5,82.52,7.99,Rabi,North,Medium,Barley
Loamy,17.45,57.07,118.93,6.54,Rabi,Central,Low,Wheat
Loamy,22.52,48.17,58.79,7.96,Kharif,South,Low,Cotton
Loamy,29.11,69.89,144.55,6.7,Kharif,Central,Medium,Soybean
Red,27.23,40.95,56.55,6.77,Kharif,West,Low,Millet
Black,21.06,65.69,138.45,7.12,Kharif,West,Medium,Soybean
Loamy,13.96,35.39,33.84,6.04,Rabi,Central,Low,Mustard
Loamy,23.77,64.13,55.82,7.78,Kharif,West,Low,Cotton
Loamy,21.1,49.03,90.45,5.93,Kharif,West,Low,Cotton
Black,23.03,61.66,123.63,6.22,Kharif,West,Medium,Soybean
Loamy,16.29,50.3,92.73,6.31,Rabi,North,Low,Wheat
Red,28.93,56.57,70.09,7.02,Kharif,West,Low,Millet
Loamy,22.23,60.09,107.39,6.79,Rabi,North,Medium,Wheat
Red,25.27,56.59,102.65,7.16,Zaid,South,Low,Groundnut
Red,23.6,59.64,56.34,7.3,Kharif,South,Low,Groundnut
Loamy,18.47,61.38,56.49,6.59,Rabi,Central,Low,Wheat
